gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulate
ZNF559-ZNF177	-1.28997711994444	5.43597741591667	-16.1241785440645	1.42649763544129e-09	1.10010302086256e-06	12.486589639369	unchanged
SLF2	-2.38819291133334	6.6819202625	-16.1155793284578	1.43539051768604e-09	1.10010302086256e-06	12.4807183435873	down-regulated
SCNN1A	-1.05642065633333	3.02198332516667	-16.0776077750722	1.47538014291882e-09	1.10010302086256e-06	12.4547494126649	unchanged
NFKBIZ	2.197369055	14.1403392958333	16.0510644518207	1.50404709883553e-09	1.10010302086256e-06	12.4365545102521	up-regulated
IL7R	-1.48461931	11.7378646716667	-15.8902462966552	1.69110062097746e-09	1.1011162262954e-06	12.3255759395332	unchanged
AL162258.2	2.2618780555	4.94667409408333	15.8667299407098	1.72049410358657e-09	1.1011162262954e-06	12.3092402230244	up-regulated
S100A1	2.2618780555	4.94667409408333	15.8667299407098	1.72049410358657e-09	1.1011162262954e-06	12.3092402230244	up-regulated
AL162258.1	2.2618780555	4.94667409408333	15.8667299407098	1.72049410358657e-09	1.1011162262954e-06	12.3092402230244	up-regulated
NFIL3	1.99629834666667	12.335527715	15.7894661054516	1.82101235957542e-09	1.11909214738459e-06	12.2553740299614	unchanged
CYB5B	-0.825092951666671	11.0718056241667	-15.7622834244126	1.85786782280644e-09	1.11909214738459e-06	12.2363517539782	unchanged
AC025180.1	1.54156189733333	7.384332075	15.6740990582082	1.98307758014038e-09	1.13537321476918e-06	12.1743837972914	unchanged
ARRDC5	-1.25075653533334	8.15447127533333	-15.6654947724469	1.99577322908645e-09	1.13537321476918e-06	12.1683163541175	unchanged
HEATR1	-0.9260883185	10.3708501574167	-15.53389173295	2.20127952593326e-09	1.21843796462468e-06	12.0750425315737	unchanged
CD274	-1.64581501583333	3.31563427241667	-15.4728667487982	2.30422014243245e-09	1.24185338202675e-06	12.0314882399622	unchanged
UTP14C	-0.919510526333333	9.04591272166667	-15.3914144886731	2.44978619633459e-09	1.26435674239196e-06	11.9730530043494	unchanged
SSBP1	-0.840469459611112	5.33654856380556	-15.3808149095438	2.46944676248429e-09	1.26435674239196e-06	11.9654231815768	unchanged
WDCP	-1.695583767	3.74196772783333	-14.9938786943379	3.31769745920093e-09	1.65723034059597e-06	11.6828086792729	unchanged
FBXO48	-1.55066063983333	4.45277374075	-14.9304215814045	3.48460212491693e-09	1.6991583694833e-06	11.6356880742104	unchanged
ORC4	0.857039153333332	12.4758207066667	14.6701150590737	4.27031920453275e-09	2.0338636583449e-06	11.4400605115046	unchanged
PYM1	-0.946232362166666	6.74001595475	-14.5903228874513	4.54791408860237e-09	2.11684728487674e-06	11.3793317795257	unchanged
AC022217.3	2.27206930133334	10.874611361	14.4736189023302	4.98954002156679e-09	2.20745992371154e-06	11.2898548234394	up-regulated
DUSP1	2.27206930133334	10.874611361	14.4736189023302	4.98954002156679e-09	2.20745992371154e-06	11.2898548234394	up-regulated
SHPRH	-0.752257535166667	8.40624061375	-14.4545611577087	5.06594806711144e-09	2.20745992371154e-06	11.2751687549899	unchanged
RANBP17	-1.2853440905	3.24868311175	-14.3917250155738	5.32694383094193e-09	2.27282936786856e-06	11.2265974341978	unchanged
FAM200A	-1.43352137816667	5.71717599225	-14.3407435932419	5.54935254166243e-09	2.31243248268233e-06	11.187020536233	unchanged
NFIA	-1.17355321616667	3.14605541491667	-14.3193630375437	5.64558711592365e-09	2.31243248268233e-06	11.170377498123	unchanged
AC113189.1	-1.166586564	5.60303390333333	-14.2702943632916	5.87331599854137e-09	2.3131829163486e-06	11.132079819048	unchanged
TMEM102	-1.166586564	5.60303390333333	-14.2702943632916	5.87331599854137e-09	2.3131829163486e-06	11.132079819048	unchanged
MAP3K8	1.963131785	12.7801267575	14.2150406574862	6.1416609074676e-09	2.33390865366093e-06	11.0887844591271	unchanged
ZNF691	-1.3191211375	5.61333328225	-14.2125908223958	6.15386070789502e-09	2.33390865366093e-06	11.0868606391403	unchanged
SGCG	1.09720370333334	7.88140906566667	14.1271347222763	6.59619864194581e-09	2.45618451249182e-06	11.0195292044544	unchanged
COL6A1	-0.9394188755	3.01056079308333	-14.0858926126309	6.82183050278365e-09	2.49484086958945e-06	10.9868777210812	unchanged
ZNF419	-1.201932905	7.88766753933333	-14.0545215044986	6.99902581355849e-09	2.51345469934989e-06	10.9619724912265	unchanged
PLAG1	-1.42374981983333	4.62584423625	-14.033903292268	7.11818225401824e-09	2.51345469934989e-06	10.9455714729558	unchanged
NR4A2	2.881636319	10.4494156138333	13.9860052263313	7.40351664073902e-09	2.51470428482697e-06	10.9073707513902	up-regulated
C2CD2L	-0.937432207000001	5.614863196	-13.9823909671525	7.42554182277354e-09	2.51470428482697e-06	10.9044825624307	unchanged
LAX1	-1.736874544	5.389875568	-13.9718656423077	7.49008600461158e-09	2.51470428482697e-06	10.8960671360555	unchanged
AC135178.4	-1.060184354	7.02577911133333	-13.9160175658085	7.84283000250112e-09	2.54954219763846e-06	10.851300974803	unchanged
AC135178.3	-1.060184354	7.02577911133333	-13.9160175658085	7.84283000250112e-09	2.54954219763846e-06	10.851300974803	unchanged
SLC26A2	-1.42499178816667	4.98963514241667	-13.873966981586	8.12023086745124e-09	2.59337188138511e-06	10.8174680886652	unchanged
TBP	-1.00680141783333	7.77941270875	-13.8576186356116	8.23091661572422e-09	2.59337188138511e-06	10.8042851688414	unchanged
IDO2	-1.19234587433333	3.21938776466667	-13.8130303185111	8.54114710106658e-09	2.6503438277249e-06	10.7682461145	unchanged
VCPIP1	-1.135818035	11.0679469975	-13.683117653258	9.51910598715676e-09	2.90972075547717e-06	10.6625360119484	unchanged
CA5B	-1.15318342433333	6.64404826133333	-13.5478355504112	1.06670739485924e-08	3.19043921608359e-06	10.551325575601	unchanged
AP000944.5	-1.04312420716667	5.82720216066667	-13.5358959692965	1.07753282114651e-08	3.19043921608359e-06	10.5414544845836	unchanged
PLCB4	-1.47725207266667	3.10030357983333	-13.5217824831552	1.09048215393482e-08	3.19043921608359e-06	10.5297743242854	unchanged
C2orf42	-0.973642305	10.8785980441667	-13.4869603390852	1.12315460961457e-08	3.19475088957033e-06	10.5009011712143	unchanged
TIA1	-0.973642305	10.8785980441667	-13.4869603390852	1.12315460961457e-08	3.19475088957033e-06	10.5009011712143	unchanged
CASP10	-1.20029057966667	5.85854002616667	-13.4150771678083	1.19398432326577e-08	3.34969848499767e-06	10.4410509345996	unchanged
CDC73	-1.37143221925	7.35313069720833	-13.3445081440407	1.26822017101474e-08	3.50988501383538e-06	10.3819682664282	unchanged
FAM135A	-0.959044994666667	7.5005644845	-13.189017816534	1.4499332245454e-08	3.92785208816749e-06	10.2506318238409	unchanged
NR4A3	4.54293029683334	7.23424282758333	13.1294993170777	1.5267488490922e-08	3.92785208816749e-06	10.1999338886123	up-regulated
STX17-AS1	4.54293029683334	7.23424282758333	13.1294993170777	1.5267488490922e-08	3.92785208816749e-06	10.1999338886123	up-regulated
ANKRD13B	0.963082277666666	7.154828327	13.1118476686652	1.5503645753298e-08	3.92785208816749e-06	10.1848525456727	unchanged
ZNF786	-1.48655667016667	9.64460589325	-13.1061433429626	1.55808012784868e-08	3.92785208816749e-06	10.1799743640681	unchanged
RBM4B	-1.1661351435	7.04645381575	-13.1010441007152	1.56501226770593e-08	3.92785208816749e-06	10.175611779217	unchanged
ZNF217	-1.12989491116667	5.47899623308333	-13.0937207985427	1.57502606228368e-08	3.92785208816749e-06	10.1693433676638	unchanged
PRR26	1.62865590883333	7.83266401591667	13.0743044723016	1.60191123206643e-08	3.92785208816749e-06	10.1527063759089	unchanged
MUC20	-1.500196998	6.0826840045	-13.0517512198499	1.63376190838384e-08	3.92785208816749e-06	10.1333495164677	unchanged
MUC20P1	-1.500196998	6.0826840045	-13.0517512198499	1.63376190838384e-08	3.92785208816749e-06	10.1333495164677	unchanged
MUC20-OT1	-1.500196998	6.0826840045	-13.0517512198499	1.63376190838384e-08	3.92785208816749e-06	10.1333495164677	unchanged
KCNK7	2.2485216945	6.64897241091667	13.0325600013803	1.66140184484534e-08	3.92785208816749e-06	10.1168510765202	up-regulated
VPS4B	-0.983499936666668	9.88356899833333	-13.0276390779602	1.66856997886021e-08	3.92785208816749e-06	10.1126165982392	unchanged
TSEN2	-0.908901503666666	8.47951799416667	-12.9885977876145	1.72663438418038e-08	4.0004466435022e-06	10.078963021883	unchanged
FAM170A	-1.121876873	3.15648421816667	-12.9808098124494	1.73847534800633e-08	4.0004466435022e-06	10.072237365339	unchanged
AL021707.2	-1.1515820875	7.08996959391667	-12.92342661263	1.82846470353962e-08	4.11505023390015e-06	10.0225536008398	unchanged
CBY1	-1.1515820875	7.08996959391667	-12.92342661263	1.82846470353962e-08	4.11505023390015e-06	10.0225536008398	unchanged
BHLHE40	2.6221868375	10.3409114629167	12.9067864065345	1.85548899210232e-08	4.13047984328864e-06	10.0081038416919	up-regulated
CMSS1	-0.94514738725	6.60650020529167	-12.8700789160429	1.91663623166343e-08	4.22072150800721e-06	9.97616089089259	unchanged
ZNF175	-1.58281229816667	4.48962019375	-12.8426910572383	1.96367125662678e-08	4.23514387521457e-06	9.95226722764783	unchanged
CCIN	2.91515215983333	6.95826454725	12.8419026732369	1.96504347206705e-08	4.23514387521457e-06	9.95157865741633	up-regulated
ZNF322	-1.85482484833334	8.28478584683333	-12.8303764411779	1.98522369150683e-08	4.23514387521457e-06	9.94150678378175	unchanged
ZNF566	-1.12218792616667	10.0551467619167	-12.7746793546947	2.08593344231097e-08	4.30980195623961e-06	9.89270716527457	unchanged
ZNF625	-1.264062548	4.57563027966667	-12.7721669469792	2.09060409371701e-08	4.30980195623961e-06	9.89050078876796	unchanged
ATP6AP1L	-1.13880334616667	5.88407188975	-12.7606001738867	2.11225284211895e-08	4.30980195623961e-06	9.88033724310268	unchanged
PIGB	-0.6618510155	10.27520191725	-12.7510076632742	2.13038959900607e-08	4.30980195623961e-06	9.87190134403352	unchanged
DLEC1	1.10105393083334	8.04873501675	12.7425242365269	2.14656913406556e-08	4.30980195623961e-06	9.86443542574899	unchanged
ARF3	0.885137848166668	10.4018066409167	12.7377156044065	2.15579883140219e-08	4.30980195623961e-06	9.86020130177255	unchanged
MRPL30	-0.717372783666667	9.9722977165	-12.7193710758211	2.19140372004122e-08	4.30980195623961e-06	9.84403355207287	unchanged
TIPARP	1.05379229166667	10.8650173658333	12.7031233686152	2.22346785776309e-08	4.30980195623961e-06	9.82969403735307	unchanged
RNASEL	-1.4326529425	7.55471597575	-12.7028633387765	2.22398510369195e-08	4.30980195623961e-06	9.82946439517063	unchanged
ATF3	2.11041459916667	7.09241548541667	12.6995139578553	2.23065921563183e-08	4.30980195623961e-06	9.82650600397085	up-regulated
HBEGF	3.4296271	7.06219928383333	12.5887893260691	2.46389720577919e-08	4.71594530601474e-06	9.72825946289607	up-regulated
TIGD3	-1.01075630383334	5.68358345958333	-12.54628696475	2.56028770125589e-08	4.8550640853445e-06	9.69031483823996	unchanged
KHDC4	-1.45135470316667	9.91018713008333	-12.5277428848021	2.60360858070316e-08	4.89191777365144e-06	9.67371872268568	unchanged
FAM217A	-1.13555885625	7.44296178354167	-12.4874818444037	2.7004029326639e-08	4.98551359402588e-06	9.63760164301718	unchanged
RNF145	-1.15386502716667	7.85484850025	-12.486786048416	2.70210941863707e-08	4.98551359402588e-06	9.63697643476346	unchanged
PUDP	-1.41972857433333	6.582775659	-12.4387735057377	2.82271396178318e-08	5.16153410154638e-06	9.59375000086884	unchanged
SPAG9	-0.916520104499998	9.78270843608333	-12.4026730837362	2.91720893104858e-08	5.24425698825279e-06	9.56113787746186	unchanged
GATAD1	-0.932753798333334	10.8858060441667	-12.4019385960393	2.91916648760165e-08	5.24425698825279e-06	9.56047337506075	unchanged
UHRF1	-1.2521115665	6.56919133516667	-12.3810378393392	2.9754679783055e-08	5.2732813070878e-06	9.54154761066616	unchanged
RGS19	-1.19771308533333	6.46782779066667	-12.3692647406172	3.00769548290091e-08	5.2732813070878e-06	9.53087292026995	unchanged
AC025627.1	-2.40605088166667	4.6842137765	-12.3582036709015	3.03831637810723e-08	5.2732813070878e-06	9.52083456946734	down-regulated
SLC47A1	-2.40605088166667	4.6842137765	-12.3582036709015	3.03831637810723e-08	5.2732813070878e-06	9.52083456946734	down-regulated
FKTN	-2.09730126033333	3.76118600483333	-12.3384082481155	3.09395779745981e-08	5.32472736907369e-06	9.5028470255994	down-regulated
SNX11	-0.875996638000001	6.8217546975	-12.3091549205006	3.17820107195536e-08	5.42412982947049e-06	9.47621254060712	unchanged
GOLPH3L	-1.31957606666666	7.62032364333333	-12.2844343217254	3.25131647284699e-08	5.50305465817408e-06	9.45365575146819	unchanged
C20orf194	-1.3480136675	4.33488148491667	-12.2508571848624	3.35354005825346e-08	5.62954921254351e-06	9.42294514018687	unchanged
SLC35G6	-1.32821573583333	6.49669533325	-12.2315568629959	3.41385996210214e-08	5.63837516321386e-06	9.40525459731237	unchanged
ZBTB4	-1.32821573583333	6.49669533325	-12.2315568629959	3.41385996210214e-08	5.63837516321386e-06	9.40525459731237	unchanged
VSNL1	0.795969011333332	6.151515917	12.1789458025935	3.58429564439293e-08	5.87250998377338e-06	9.35689051585936	unchanged
HIST1H3G	3.09697092783333	4.62581039391667	12.1640464901109	3.63421010212827e-08	5.90703356282436e-06	9.34315628267209	up-regulated
PCED1B	-1.08831729916667	7.92707888025	-12.1543760810382	3.66700708346019e-08	5.91340984797359e-06	9.33423314759083	unchanged
AC244669.2	-0.864598259999999	11.494174265	-12.1361316652893	3.72975313551347e-08	5.92134451281518e-06	9.31737940062121	unchanged
AC245297.1	-0.864598259999999	11.494174265	-12.1361316652893	3.72975313551347e-08	5.92134451281518e-06	9.31737940062121	unchanged
NVL	-0.777982241833334	9.04702581558333	-12.0674653753171	3.97647032303969e-08	6.26447017045022e-06	9.25372183223569	unchanged
CFAP45	2.07773755116667	5.34518572558333	12.0229099790613	4.14591558530121e-08	6.48155352572281e-06	9.21222497903104	up-regulated
C16orf58	-1.11397529166667	7.93339843766667	-11.9420310445827	4.47368128894034e-08	6.94098430284077e-06	9.13651004227562	unchanged
ASH2L	-0.655643898666668	8.753293456	-11.9243578193744	4.54895073511945e-08	6.97389337568073e-06	9.11989823208321	unchanged
MTERF3	-0.967699408916669	7.889611920375	-11.9210946950948	4.56299664229111e-08	6.97389337568073e-06	9.1168284454581	unchanged
CELF1	-0.57684439533333	8.85392153583333	-11.9120398345113	4.60221765034378e-08	6.98173462807708e-06	9.10830576586358	unchanged
MED11	-1.09760653666667	6.37649866966667	-11.8538022477752	4.86330368023094e-08	7.30386582999954e-06	9.05333901960477	unchanged
MCMDC2	-0.857560880666667	3.1437391245	-11.8393098642746	4.93072152631438e-08	7.30386582999954e-06	9.03961957974871	unchanged
KLK3	1.83022863783333	4.41055353091667	11.8313746308109	4.96806121517659e-08	7.30386582999954e-06	9.03210062237345	unchanged
AP003680.1	2.72239822733333	4.202871266	11.8296167566587	4.97637407846656e-08	7.30386582999954e-06	9.03043429929528	up-regulated
METTL3	-0.81991911666667	11.6427688266667	-11.826136311696	4.99287703222625e-08	7.30386582999954e-06	9.02713440529097	unchanged
ZNF227	-1.23899573183334	7.57968305808333	-11.7845386448669	5.19473942288522e-08	7.54526690643187e-06	8.98762122603767	unchanged
ZNF625-ZNF20	-0.823047284083334	4.00424325179167	-11.7498247349743	5.36992021688097e-08	7.68785788213966e-06	8.95454279211034	unchanged
AC010643.1	0.749581835333332	5.82140650116667	11.7429182865636	5.40552507337945e-08	7.68785788213966e-06	8.94795039785817	unchanged
DKKL1	0.749581835333332	5.82140650116667	11.7429182865636	5.40552507337945e-08	7.68785788213966e-06	8.94795039785817	unchanged
MAGI1	-0.857849106333334	3.09275446783333	-11.6841586221289	5.71892388674647e-08	8.0774869793495e-06	8.89171000011586	unchanged
FICD	-0.921742321416668	7.558106736625	-11.6604261359138	5.85099542185063e-08	8.20742371503431e-06	8.86891727359632	unchanged
RCBTB1	-0.969426893666666	7.08810021516667	-11.6401828514393	5.96624312646907e-08	8.29381102049982e-06	8.84944008406948	unchanged
NEK9	-0.830864548999999	7.04302662566667	-11.6354437978841	5.99357437028307e-08	8.29381102049982e-06	8.8448756467598	unchanged
FUT8	-0.753666499499999	7.66024084408333	-11.614748902866	6.11451461724142e-08	8.4043798228929e-06	8.8249222115058	unchanged
LINC00910	-1.28596178166667	4.61629231833333	-11.5942236130636	6.23705991048854e-08	8.45927066005333e-06	8.80509837606694	unchanged
DCUN1D3	-1.28596178166667	4.61629231833333	-11.5942236130636	6.23705991048854e-08	8.45927066005333e-06	8.80509837606694	unchanged
PUS1	-0.661518672666668	9.19392933133333	-11.5480003472983	6.52281416257084e-08	8.78863381904282e-06	8.76033063209533	unchanged
C1orf109	-1.76102629283333	4.98029709991667	-11.5412294975098	6.56584072053404e-08	8.78878548735537e-06	8.75375850659951	unchanged
AC246680.1	1.05711274333334	12.7561427166667	11.4754978526584	6.99977156092653e-08	9.24873042372743e-06	8.68976280845754	unchanged
AC244453.1	1.05711274333334	12.7561427166667	11.4754978526584	6.99977156092653e-08	9.24873042372743e-06	8.68976280845754	unchanged
STARD13	-1.42148678566667	4.95805555666667	-11.4484567018772	7.18715127835615e-08	9.43543962697013e-06	8.66333365439406	unchanged
AC053513.1	-0.694960058333333	10.4866129691667	-11.3809299377447	7.67903808512796e-08	9.95358860654561e-06	8.59707345299037	unchanged
C2CD5	-0.694960058333333	10.4866129691667	-11.3809299377447	7.67903808512796e-08	9.95358860654561e-06	8.59707345299037	unchanged
KLF10	1.22804641166666	14.5024220158333	11.3733445108797	7.73651442860437e-08	9.96501984263003e-06	8.58960685555515	unchanged
TOMM7	1.05730585833333	15.2550009058333	11.3500659298674	7.91580777019734e-08	1.00926264705375e-05	8.56666326133117	unchanged
PLAGL1	-0.901324634000001	5.33202506133333	-11.347717150475	7.93414483279562e-08	1.00926264705375e-05	8.56434579147042	unchanged
KRTAP10-10	0.985611126666669	12.731125975	11.3406720082054	7.9894211654714e-08	1.01002065104231e-05	8.55739182027993	unchanged
CHM	-1.11080815716667	7.98304748158333	-11.3250751202952	8.11327321097892e-08	1.01938549301134e-05	8.54198212760955	unchanged
ZNF302	-0.758493324333333	9.17722866033333	-11.2806819719302	8.47722831655769e-08	1.05861973123842e-05	8.49801105745161	unchanged
SRPX	-0.9891296685	3.15401923675	-11.2458426037473	8.77514645724205e-08	1.08918181481404e-05	8.46338771496171	unchanged
ZNF573	-0.955992653333332	11.7740300583333	-11.2365597486529	8.85641144818872e-08	1.09264642445123e-05	8.45414526238427	unchanged
PTGS2	2.70238971566667	11.2273640771667	11.2185270982846	9.0165965541872e-08	1.09947462268935e-05	8.43617041162466	up-regulated
TRIM61	-1.36534065125	4.91132619295833	-11.2162696212142	9.03686819552169e-08	1.09947462268935e-05	8.43391824453984	unchanged
PRODH	1.030038383	6.62061060266667	11.2122801066906	9.07281304855958e-08	1.09947462268935e-05	8.42993706516446	unchanged
PHF23	-0.934416134999999	6.5897707035	-11.1840491262441	9.33160359604008e-08	1.12418377439353e-05	8.40172673068439	unchanged
TRMT13	-0.931157006333336	10.0895850918333	-11.1487175411997	9.66671909552241e-08	1.15774507062163e-05	8.36632607637136	unchanged
PEAK3	0.930552181333335	9.68231136916667	11.138637379605	9.76468330978847e-08	1.16267857083993e-05	8.35620680607989	unchanged
KRT13	-1.46049942466667	3.6097895435	-11.1324547991491	9.82529642122789e-08	1.1631333566864e-05	8.34999596784899	unchanged
USP37	-1.14827990983333	6.58325543158333	-11.0835110919597	1.03196511078417e-07	1.21463479706091e-05	8.30071365299	unchanged
PANX2	1.18529112133333	9.5500944665	11.0619826297503	1.0545506559462e-07	1.23412556764446e-05	8.27897143479585	unchanged
EDN2	2.51729046716667	6.68726649991667	11.0527626208792	1.06438536490922e-07	1.23855751553073e-05	8.26964772959933	up-regulated
ID1	2.06181680883333	5.15539561591667	11.0247893367963	1.09483170940441e-07	1.26678832816963e-05	8.24131513424816	up-regulated
QSER1	1.075069394	8.13233200883333	11.0057904259821	1.11604329955392e-07	1.28407678510473e-05	8.22203375771734	unchanged
ARHGAP25	-1.24999764333333	11.2254344883333	-10.9977350973442	1.12516973768725e-07	1.28734504066117e-05	8.21384926138959	unchanged
ARMCX3	-0.832319437166668	6.89817655075	-10.9839785778621	1.14094142209814e-07	1.29096576378839e-05	8.19985918412416	unchanged
ARMCX3-AS1	-0.832319437166668	6.89817655075	-10.9839785778621	1.14094142209814e-07	1.29096576378839e-05	8.19985918412416	unchanged
EREG	3.92099419883333	6.17811907725	10.9780678878699	1.14779078419099e-07	1.29157995935338e-05	8.19384311167881	up-regulated
AC073343.2	-0.790027299166665	8.73413463358333	-10.9386338843435	1.19463353824644e-07	1.33329150195584e-05	8.15362846124316	unchanged
GSR	-0.7050848	6.83092827066667	-10.9342443012284	1.19997354355021e-07	1.33329150195584e-05	8.14914361840361	unchanged
TEX2	-0.581439377833337	6.78240483625	-10.9151313370957	1.22352562906626e-07	1.33329150195584e-05	8.12959630066576	unchanged
PLA2G10	-1.22043153066667	4.04407566133333	-10.9040011439558	1.23746937574557e-07	1.33329150195584e-05	8.11819847625155	unchanged
SLC30A6	-0.949392769666667	5.5955483675	-10.900885389322	1.24140327109305e-07	1.33329150195584e-05	8.11500586184383	unchanged
AC000120.1	-1.17021402666667	11.537458885	-10.8966757544008	1.24673963798356e-07	1.33329150195584e-05	8.1106910345002	unchanged
KRIT1	-1.17021402666667	11.537458885	-10.8966757544008	1.24673963798356e-07	1.33329150195584e-05	8.1106910345002	unchanged
C5orf22	-0.836990503666668	5.57804128883333	-10.8918769546734	1.25285294601581e-07	1.33329150195584e-05	8.10577042839133	unchanged
CRABP2	0.987311238833334	4.54000295825	10.8874958506915	1.25846227520383e-07	1.33329150195584e-05	8.10127635946111	unchanged
AL590666.4	0.987311238833334	4.54000295825	10.8874958506915	1.25846227520383e-07	1.33329150195584e-05	8.10127635946111	unchanged
MIER2	-0.901206665499999	4.84634897608333	-10.8868552497526	1.25928472506015e-07	1.33329150195584e-05	8.10061909999585	unchanged
GNPNAT1	-0.941572599333334	7.46174235733333	-10.8789425252879	1.26949142031929e-07	1.33329150195584e-05	8.09249764297224	unchanged
AL139317.3	-0.941572599333334	7.46174235733333	-10.8789425252879	1.26949142031929e-07	1.33329150195584e-05	8.09249764297224	unchanged
HMGXB4	-1.01960040833333	6.35900262133333	-10.8553524466114	1.30045161556546e-07	1.35883923912146e-05	8.0682526640464	unchanged
SOCS3	2.31264567133333	5.21275379516667	10.8139829443059	1.35672233304055e-07	1.41044027313048e-05	8.02561640408794	up-regulated
SPOP	-0.730091276666668	11.5493239783333	-10.8021446209126	1.37330217167935e-07	1.42046608464611e-05	8.01338777580546	unchanged
AP3M1	-0.806157146333332	6.87210042633333	-10.7846712042476	1.39817313564644e-07	1.43892391045423e-05	7.99531559032115	unchanged
ARMC1	-1.053429401	7.36634536266667	-10.77624084919	1.41034525176773e-07	1.44419353781016e-05	7.98658666496918	unchanged
AC002463.1	-0.708530332166665	9.30579564658333	-10.7560854339969	1.43991045918389e-07	1.46593971408793e-05	7.96569182612968	unchanged
MINDY4B	-0.629517068166669	3.31874827525	-10.7520580107216	1.44589756955938e-07	1.46593971408793e-05	7.9615123195894	unchanged
GALNT6	-0.635936873666667	7.1338866225	-10.7410937066498	1.46233288360739e-07	1.47529938208273e-05	7.95012665923984	unchanged
NUP43	-1.11041939466667	6.32558293516667	-10.6948384672754	1.53391129554859e-07	1.53992663396251e-05	7.90197563002998	unchanged
TOB2	-0.940966775	4.17544588166667	-10.6776629574941	1.56144046946645e-07	1.55991711291087e-05	7.88404736861297	unchanged
ZMYM4	-0.760683836999997	8.577993076	-10.6575165021697	1.59440964469917e-07	1.58394839126409e-05	7.86298415408958	unchanged
PHF21A	1.020722214	10.7005314013333	10.6535650076025	1.60096346187337e-07	1.58394839126409e-05	7.85884856007338	unchanged
HNF1A	1.10737863183333	7.92303555891667	10.6397005895115	1.62418839938137e-07	1.58674733024455e-05	7.84432706154966	unchanged
THAP8	-0.989874113333333	5.81574693483333	-10.6391292439164	1.62515321922465e-07	1.58674733024455e-05	7.84372826576357	unchanged
MTSS1	1.60371026333334	12.9257784583333	10.6380154466903	1.62703583667654e-07	1.58674733024455e-05	7.84256087159773	unchanged
SVIL	-0.9119496195	5.20257563075	-10.6321535987945	1.63698262548759e-07	1.58888171421734e-05	7.83641509901925	unchanged
